processing,view,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,full,disp,qseis06,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,11.347359522573274,0.01287625681345344,0.9936651399218459,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,3.8980702561285404e-07
raw,full,disp,qseis06,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,11.220048968952261,0.01258894988656867,0.9938228751172498,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,2.4433647381381543e-07
raw,full,disp,qseis2025,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,3.7683851893105946,0.001420072693501545,0.9993071261141575,2.6599969954823563e-05,2.617031104740955e-05,1.01641779903325,1.3150128684609094e-06,6.470512375128181e-08
raw,full,disp,qseis2025,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,3.6775972695955943,0.0013524721677336971,0.9993905068656646,3.0968935526309956e-05,3.057569037745363e-05,1.0128613661376655,1.1963538123401742e-06,1.0472016509728862e-07
raw,full,disp,qseis2025,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,3.8787158029826436,0.0015044436280307295,0.9992666208726607,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,2.7765827895315703e-07
raw,full,disp,qseis2025,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,3.847950274959093,0.0014806721318557758,0.9992811478259559,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,1.7535410449421218e-07
raw,full,disp,qseis2025,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,8.76890832258917,0.007689375316997361,0.9962649521074781,6.513919890251941e-06,6.802973620541636e-06,0.9575106789453226,8.832464997252331e-07,7.927807848462855e-08
raw,full,disp,qseis2025,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,6.961881621867545,0.0048467795716897084,0.9976908344730061,1.3376820495983014e-05,1.3226644372000243e-05,1.0113540607699925,1.0929682827052628e-06,1.2784525936363982e-07
raw,full,disp,qseis2025,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,7.326007920185158,0.005367039204661567,0.9973568271709782,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,3.4241204976647585e-07
raw,full,disp,qseis2025,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,7.329775613119008,0.005372561053867412,0.9973626064332521,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,2.1592856526735167e-07
raw,full,disp,qseis2025,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,12.296315833873935,0.015119938308637887,0.9927351023144914,5.595150350972427e-06,5.4067310569255066e-06,1.0348490228315634,7.773082927288272e-07,8.372810163271903e-08
raw,full,disp,qseis2025,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,10.130793079697224,0.010263296842364118,0.9950482855381579,9.270183824778239e-06,9.20312035989363e-06,1.0072870355120929,1.132614068569373e-06,1.4191907936267331e-07
raw,full,disp,qseis2025,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,11.347359522573274,0.01287625681345344,0.9936651399218459,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,3.8980702561285404e-07
raw,full,disp,qseis2025,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,11.220048968952261,0.01258894988656867,0.9938228751172498,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,2.4433647381381543e-07
raw,full,disp,spgrn2012,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.7025185925485309,4.935323728763688e-05,0.9999752775764623,2.6103278616726093e-05,2.617031104740955e-05,0.9974386077963681,2.0191685491630507e-07,1.2062607770928278e-08
raw,full,disp,spgrn2012,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.24565883538364636,6.034826340204947e-06,0.9999969450991033,3.0564053842211553e-05,3.057569037745363e-05,0.999619418724535,9.031331639111824e-08,6.995174270893446e-09
raw,full,disp,spgrn2012,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.067316344147306,4.531490189358538e-07,0.999999773299693,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,6.731859726571655e-08,4.818847580167256e-09
raw,full,disp,spgrn2012,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.18691427097055588,3.4936944692454382e-06,0.9999982527068467,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,2.0191685491630507e-07,8.51782956150045e-09
raw,full,disp,spgrn2012,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.18454731217079395,3.4057710429464474e-06,0.9999982961939982,6.795364915845228e-06,6.802973620541636e-06,0.9988815619285318,3.419342966584139e-08,1.6684581204611711e-09
raw,full,disp,spgrn2012,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.1432649127116454,2.052483521427538e-06,0.9999989719504668,1.3229253775746846e-05,1.3226644372000243e-05,1.000197283881929,3.265630777719267e-08,2.6308605802487455e-09
raw,full,disp,spgrn2012,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.03599758956349361,1.295826454381744e-07,0.9999999352390394,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,2.0434791009453252e-08,1.6825000141109073e-09
raw,full,disp,spgrn2012,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.06939037041314933,4.815023506074069e-07,0.9999997592424824,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,3.419342966584139e-08,2.0441776007254353e-09
raw,full,disp,spgrn2012,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.22578022897378774,5.097671179545602e-06,0.9999974510743517,5.4136376040137285e-06,5.4067310569255066e-06,1.0012773979351859,2.4961625786465643e-08,1.5373832466224273e-09
raw,full,disp,spgrn2012,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.08883108956395352,7.890962473119134e-07,0.9999996052482429,9.203281045894854e-06,9.20312035989363e-06,1.0000174599478155,1.61253941176147e-08,1.2444066669335464e-09
raw,full,disp,spgrn2012,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.023609900997811854,5.5742742512647715e-08,0.999999972137988,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,7.203106874164421e-09,8.110525858163635e-10
raw,full,disp,spgrn2012,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.056676006644325684,3.2121697291476487e-07,0.9999998393998671,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,2.4961625786465643e-08,1.234220603817565e-09
raw,full,disp,spgrn2020,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.617031104740955e-05,2.617031104740955e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,3.057569037745363e-05,3.057569037745363e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,6.802973620541636e-06,6.802973620541636e-06,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.3226644372000243e-05,1.3226644372000243e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.4067310569255066e-06,5.4067310569255066e-06,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,9.20312035989363e-06,9.20312035989363e-06,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,full,disp,spgrn2020,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,full,disp,qssp2020,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.37603151897800424,1.4139970326490518e-05,0.9999940489832513,2.6174534812846163e-05,2.617031104740955e-05,1.0001613953089423,5.198339012815125e-08,6.456655768330702e-09
raw,full,disp,qssp2020,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.4618566004273623,2.133115193583202e-05,0.9999900546609524,3.0588191479407226e-05,3.057569037745363e-05,1.00040885755315,1.1892919054967361e-07,1.3151439894707216e-08
raw,full,disp,qssp2020,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.23001427761493234,5.2906567906719175e-06,0.9999974142113326,9.018164171624112e-05,9.014476279598402e-05,1.000409107740852,1.4232179252964436e-07,1.6465596269802695e-08
raw,full,disp,qssp2020,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.27923241678058563,7.797074258112668e-06,0.9999963018045274,9.018164171624112e-05,9.014476279598402e-05,1.000409107740852,1.4232179252964436e-07,1.2724839691654995e-08
raw,full,disp,qssp2020,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.4950287372473548,2.4505345070071065e-05,0.9999914365248768,6.803254214597282e-06,6.802973620541636e-06,1.0000412457950445,1.5803467660892215e-08,4.475463266339022e-09
raw,full,disp,qssp2020,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.3654468068373968,1.3355136862764957e-05,0.9999949569728017,1.3228000556438577e-05,1.3226644372000243e-05,1.000102534278551,2.9129815526161422e-08,6.7109216073122505e-09
raw,full,disp,qssp2020,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.22112591662140813,4.8896671001657945e-06,0.9999978238601767,5.087566013680163e-05,5.0875919572199884e-05,0.9999949006248843,8.278118240592614e-08,1.033525750882802e-08
raw,full,disp,qssp2020,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.25694336734595613,6.601989402307896e-06,0.999997241928812,5.087566013680163e-05,5.0875919572199884e-05,0.9999949006248843,8.278118240592614e-08,7.569319389078217e-09
raw,full,disp,qssp2020,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.6230643012097042,3.882091234419371e-05,0.9999874307807102,5.41350630225532e-06,5.4067310569255066e-06,1.0012531130656361,1.2498198911926943e-08,4.242570851318946e-09
raw,full,disp,qssp2020,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.4417729549327772,1.9516334371003763e-05,0.999993220336428,9.211834499012624e-06,9.20312035989363e-06,1.000946867885915,1.8541824571003278e-08,6.188657744578205e-09
raw,full,disp,qssp2020,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.21108630363150838,4.4557427580813345e-06,0.999998126128872,2.821390558018035e-05,2.8204263866392105e-05,1.0003418530557622,5.202384163670373e-08,7.251283790076874e-09
raw,full,disp,qssp2020,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.2766431343527889,7.653142378453522e-06,0.9999970799221821,2.821390558018035e-05,2.8204263866392105e-05,1.0003418530557622,5.202384163670373e-08,6.02439509307008e-09
raw,zoom,disp,qseis06,spgrn2020,300.0,East,m,75.0,115.0,0.25,161,3.72305055294367,0.0013861105419774166,0.9993178723850382,2.6599969954823563e-05,2.617031104740955e-05,1.01641779903325,1.3150128684609094e-06,2.002791231643493e-07
raw,zoom,disp,qseis06,spgrn2020,300.0,North,m,75.0,115.0,0.25,161,3.551220001021923,0.0012611163495658145,0.9994093080647947,3.0968935526309956e-05,3.057569037745363e-05,1.0128613661376655,1.1963538123401742e-06,3.133812033299481e-07
raw,zoom,disp,qseis06,spgrn2020,300.0,Up,m,75.0,115.0,0.25,161,3.8776628037891476,0.001503626881988991,0.9992671306739268,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,8.745765014545276e-07
raw,zoom,disp,qseis06,spgrn2020,300.0,all_components,m,75.0,115.0,0.25,161,3.830690977660474,0.0014674193366329357,0.9992867088763554,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,5.486965046582213e-07
raw,zoom,disp,qseis06,spgrn2020,600.0,East,m,155.0,220.0,0.25,261,8.713843348844197,0.007593106590819625,0.9963094791844985,6.513919890251941e-06,6.802973620541636e-06,0.9575106789453226,8.832464997252331e-07,1.9438153273744324e-07
raw,zoom,disp,qseis06,spgrn2020,600.0,North,m,155.0,220.0,0.25,261,6.920878957054962,0.004789856553820617,0.9977118047449806,1.3376820495983014e-05,1.3226644372000243e-05,1.0113540607699925,1.0929682827052628e-06,3.1347170622606437e-07
raw,zoom,disp,qseis06,spgrn2020,600.0,Up,m,155.0,220.0,0.25,261,7.320702825147101,0.005359268985411673,0.9973599669508626,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,8.467613691211725e-07
raw,zoom,disp,qseis06,spgrn2020,600.0,all_components,m,155.0,220.0,0.25,261,7.318276541261702,0.005355717153438134,0.9973702543975034,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,5.332458804684135e-07
raw,zoom,disp,qseis06,spgrn2020,900.0,East,m,240.0,310.0,0.25,281,12.358660759507815,0.01527364957685983,0.9926446341012632,5.595150350972427e-06,5.4067310569255066e-06,1.0348490228315634,7.773082927288272e-07,1.9663661984104608e-07
raw,zoom,disp,qseis06,spgrn2020,900.0,North,m,240.0,310.0,0.25,281,10.225532959730966,0.010456152431054435,0.9949481229720042,9.270183824778239e-06,9.20312035989363e-06,1.0072870355120929,1.132614068569373e-06,3.322953939924818e-07
raw,zoom,disp,qseis06,spgrn2020,900.0,Up,m,240.0,310.0,0.25,281,11.597955503876276,0.0134512571869894,0.9933695889377351,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,9.242056242378066e-07
raw,zoom,disp,qseis06,spgrn2020,900.0,all_components,m,240.0,310.0,0.25,281,11.44488263113924,0.013098533844055266,0.993565011777035,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,5.782854615164627e-07
raw,zoom,disp,qseis2025,spgrn2020,300.0,East,m,75.0,115.0,0.25,161,3.72305055294367,0.0013861105419774166,0.9993178723850382,2.6599969954823563e-05,2.617031104740955e-05,1.01641779903325,1.3150128684609094e-06,2.002791231643493e-07
raw,zoom,disp,qseis2025,spgrn2020,300.0,North,m,75.0,115.0,0.25,161,3.551220001021923,0.0012611163495658145,0.9994093080647947,3.0968935526309956e-05,3.057569037745363e-05,1.0128613661376655,1.1963538123401742e-06,3.133812033299481e-07
raw,zoom,disp,qseis2025,spgrn2020,300.0,Up,m,75.0,115.0,0.25,161,3.8776628037891476,0.001503626881988991,0.9992671306739268,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,8.745765014545276e-07
raw,zoom,disp,qseis2025,spgrn2020,300.0,all_components,m,75.0,115.0,0.25,161,3.830690977660474,0.0014674193366329357,0.9992867088763554,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,5.486965046582213e-07
raw,zoom,disp,qseis2025,spgrn2020,600.0,East,m,155.0,220.0,0.25,261,8.713843348844197,0.007593106590819625,0.9963094791844985,6.513919890251941e-06,6.802973620541636e-06,0.9575106789453226,8.832464997252331e-07,1.9438153273744324e-07
raw,zoom,disp,qseis2025,spgrn2020,600.0,North,m,155.0,220.0,0.25,261,6.920878957054962,0.004789856553820617,0.9977118047449806,1.3376820495983014e-05,1.3226644372000243e-05,1.0113540607699925,1.0929682827052628e-06,3.1347170622606437e-07
raw,zoom,disp,qseis2025,spgrn2020,600.0,Up,m,155.0,220.0,0.25,261,7.320702825147101,0.005359268985411673,0.9973599669508626,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,8.467613691211725e-07
raw,zoom,disp,qseis2025,spgrn2020,600.0,all_components,m,155.0,220.0,0.25,261,7.318276541261702,0.005355717153438134,0.9973702543975034,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,5.332458804684135e-07
raw,zoom,disp,qseis2025,spgrn2020,900.0,East,m,240.0,310.0,0.25,281,12.358660759507815,0.01527364957685983,0.9926446341012632,5.595150350972427e-06,5.4067310569255066e-06,1.0348490228315634,7.773082927288272e-07,1.9663661984104608e-07
raw,zoom,disp,qseis2025,spgrn2020,900.0,North,m,240.0,310.0,0.25,281,10.225532959730966,0.010456152431054435,0.9949481229720042,9.270183824778239e-06,9.20312035989363e-06,1.0072870355120929,1.132614068569373e-06,3.322953939924818e-07
raw,zoom,disp,qseis2025,spgrn2020,900.0,Up,m,240.0,310.0,0.25,281,11.597955503876276,0.0134512571869894,0.9933695889377351,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,9.242056242378066e-07
raw,zoom,disp,qseis2025,spgrn2020,900.0,all_components,m,240.0,310.0,0.25,281,11.44488263113924,0.013098533844055266,0.993565011777035,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,5.782854615164627e-07
raw,zoom,disp,spgrn2012,spgrn2020,300.0,East,m,75.0,115.0,0.25,161,0.6947937782843573,4.827383943426527e-05,0.9999758813898273,2.6103278616726093e-05,2.617031104740955e-05,0.9974386077963681,2.0191685491630507e-07,3.7375986899993575e-08
raw,zoom,disp,spgrn2012,spgrn2020,300.0,North,m,75.0,115.0,0.25,161,0.23786071647814533,5.657772044349665e-06,0.9999971694064972,3.0564053842211553e-05,3.057569037745363e-05,0.999619418724535,9.031331639111824e-08,2.0990273070492496e-08
raw,zoom,disp,spgrn2012,spgrn2020,300.0,Up,m,75.0,115.0,0.25,161,0.06373978564911853,4.0627602745955767e-07,0.9999997967927259,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,6.731859726571655e-08,1.4376009869139417e-08
raw,zoom,disp,spgrn2012,spgrn2020,300.0,all_components,m,75.0,115.0,0.25,161,0.18224210003802913,3.321218302627101e-06,0.9999983394042685,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,2.0191685491630507e-07,2.6103803171695934e-08
raw,zoom,disp,spgrn2012,spgrn2020,600.0,East,m,155.0,220.0,0.25,261,0.18475730910048338,3.413526326605156e-06,0.9999982930429572,6.795364915845228e-06,6.802973620541636e-06,0.9988815619285318,3.419342966584139e-08,4.1214200771879924e-09
raw,zoom,disp,spgrn2012,spgrn2020,600.0,North,m,155.0,220.0,0.25,261,0.14237890805602202,2.027175345922517e-06,0.9999989864864128,1.3229253775746846e-05,1.3226644372000243e-05,1.000197283881929,3.265630777719267e-08,6.448857076662022e-09
raw,zoom,disp,spgrn2012,spgrn2020,600.0,Up,m,155.0,220.0,0.25,261,0.03488769212520152,1.217151061822848e-07,0.9999999391685757,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,2.0434791009453252e-08,4.0353434164731295e-09
raw,zoom,disp,spgrn2012,spgrn2020,600.0,all_components,m,155.0,220.0,0.25,261,0.0685550381267905,4.699793252565699e-07,0.9999997650186212,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,3.419342966584139e-08,4.9952596708190965e-09
raw,zoom,disp,spgrn2012,spgrn2020,900.0,East,m,240.0,310.0,0.25,281,0.22970846314416343,5.276597804005348e-06,0.9999973615316414,5.4136376040137285e-06,5.4067310569255066e-06,1.0012773979351859,2.4961625786465643e-08,3.6548535978544543e-09
raw,zoom,disp,spgrn2012,spgrn2020,900.0,North,m,240.0,310.0,0.25,281,0.09123721879528592,8.324230093498873e-07,0.99999958354956,9.203281045894854e-06,9.20312035989363e-06,1.0000174599478155,1.61253941176147e-08,2.964902434499166e-09
raw,zoom,disp,spgrn2012,spgrn2020,900.0,Up,m,240.0,310.0,0.25,281,0.023710720233049112,5.621982539699247e-08,0.999999971904638,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,7.203106874164421e-09,1.8894348220933577e-09
raw,zoom,disp,spgrn2012,spgrn2020,900.0,all_components,m,240.0,310.0,0.25,281,0.05794711386478072,3.3578680052578623e-07,0.9999998321389434,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,2.4961625786465643e-08,2.9279438299933106e-09
raw,zoom,disp,spgrn2020,spgrn2020,300.0,East,m,75.0,115.0,0.25,161,0.0,0.0,1.0,2.617031104740955e-05,2.617031104740955e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,300.0,North,m,75.0,115.0,0.25,161,0.0,0.0,0.9999999999999999,3.057569037745363e-05,3.057569037745363e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,300.0,Up,m,75.0,115.0,0.25,161,0.0,0.0,1.0,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,300.0,all_components,m,75.0,115.0,0.25,161,0.0,0.0,1.0,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,600.0,East,m,155.0,220.0,0.25,261,0.0,0.0,1.0,6.802973620541636e-06,6.802973620541636e-06,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,600.0,North,m,155.0,220.0,0.25,261,0.0,0.0,1.0,1.3226644372000243e-05,1.3226644372000243e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,600.0,Up,m,155.0,220.0,0.25,261,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,600.0,all_components,m,155.0,220.0,0.25,261,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,900.0,East,m,240.0,310.0,0.25,281,0.0,0.0,1.0,5.4067310569255066e-06,5.4067310569255066e-06,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,900.0,North,m,240.0,310.0,0.25,281,0.0,0.0,1.0,9.20312035989363e-06,9.20312035989363e-06,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,900.0,Up,m,240.0,310.0,0.25,281,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,zoom,disp,spgrn2020,spgrn2020,900.0,all_components,m,240.0,310.0,0.25,281,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,zoom,disp,qssp2020,spgrn2020,300.0,East,m,75.0,115.0,0.25,161,0.26665813374621045,7.1106560293011854e-06,0.9999964448823633,2.6174534812846163e-05,2.617031104740955e-05,1.0001613953089423,5.198339012815125e-08,1.4344703745455927e-08
