processing,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,disp,qseis2025,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,10.130793079697224,0.010263296842364118,0.9950482855381579,9.270183824778239e-06,9.20312035989363e-06,1.0072870355120929,1.132614068569373e-06,1.4191907936267331e-07
raw,disp,qseis2025,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,11.347359522573274,0.01287625681345344,0.9936651399218459,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,3.8980702561285404e-07
raw,disp,qseis2025,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,11.220048968952261,0.01258894988656867,0.9938228751172498,2.7493010211385146e-05,2.8204263866392105e-05,0.9747820521614649,4.240962785685236e-06,2.4433647381381543e-07
raw,disp,spgrn2012,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.7025185925485309,4.935323728763688e-05,0.9999752775764623,2.6103278616726093e-05,2.617031104740955e-05,0.9974386077963681,2.0191685491630507e-07,1.2062607770928278e-08
raw,disp,spgrn2012,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.24565883538364636,6.034826340204947e-06,0.9999969450991033,3.0564053842211553e-05,3.057569037745363e-05,0.999619418724535,9.031331639111824e-08,6.995174270893446e-09
raw,disp,spgrn2012,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.067316344147306,4.531490189358538e-07,0.999999773299693,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,6.731859726571655e-08,4.818847580167256e-09
raw,disp,spgrn2012,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.18691427097055588,3.4936944692454382e-06,0.9999982527068467,9.01435618066057e-05,9.014476279598402e-05,0.9999866771031276,2.0191685491630507e-07,8.51782956150045e-09
raw,disp,spgrn2012,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.18454731217079395,3.4057710429464474e-06,0.9999982961939982,6.795364915845228e-06,6.802973620541636e-06,0.9988815619285318,3.419342966584139e-08,1.6684581204611711e-09
raw,disp,spgrn2012,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.1432649127116454,2.052483521427538e-06,0.9999989719504668,1.3229253775746846e-05,1.3226644372000243e-05,1.000197283881929,3.265630777719267e-08,2.6308605802487455e-09
raw,disp,spgrn2012,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.03599758956349361,1.295826454381744e-07,0.9999999352390394,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,2.0434791009453252e-08,1.6825000141109073e-09
raw,disp,spgrn2012,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.06939037041314933,4.815023506074069e-07,0.9999997592424824,5.0876299776260014e-05,5.0875919572199884e-05,1.0000074731634008,3.419342966584139e-08,2.0441776007254353e-09
raw,disp,spgrn2012,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.22578022897378774,5.097671179545602e-06,0.9999974510743517,5.4136376040137285e-06,5.4067310569255066e-06,1.0012773979351859,2.4961625786465643e-08,1.5373832466224273e-09
raw,disp,spgrn2012,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.08883108956395352,7.890962473119134e-07,0.9999996052482429,9.203281045894854e-06,9.20312035989363e-06,1.0000174599478155,1.61253941176147e-08,1.2444066669335464e-09
raw,disp,spgrn2012,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.023609900997811854,5.5742742512647715e-08,0.999999972137988,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,7.203106874164421e-09,8.110525858163635e-10
raw,disp,spgrn2012,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.056676006644325684,3.2121697291476487e-07,0.9999998393998671,2.8203410001593017e-05,2.8204263866392105e-05,0.9999697256839203,2.4961625786465643e-08,1.234220603817565e-09
raw,disp,spgrn2020,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.617031104740955e-05,2.617031104740955e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,3.057569037745363e-05,3.057569037745363e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,9.014476279598402e-05,9.014476279598402e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,6.802973620541636e-06,6.802973620541636e-06,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.3226644372000243e-05,1.3226644372000243e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.0875919572199884e-05,5.0875919572199884e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.4067310569255066e-06,5.4067310569255066e-06,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,9.20312035989363e-06,9.20312035989363e-06,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,disp,spgrn2020,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.8204263866392105e-05,2.8204263866392105e-05,1.0,0.0,0.0
raw,disp,qssp2020,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,0.37603151897800424,1.4139970326490518e-05,0.9999940489832513,2.6174534812846163e-05,2.617031104740955e-05,1.0001613953089423,5.198339012815125e-08,6.456655768330702e-09
raw,disp,qssp2020,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,0.4618566004273623,2.133115193583202e-05,0.9999900546609524,3.0588191479407226e-05,3.057569037745363e-05,1.00040885755315,1.1892919054967361e-07,1.3151439894707216e-08
raw,disp,qssp2020,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,0.23001427761493234,5.2906567906719175e-06,0.9999974142113326,9.018164171624112e-05,9.014476279598402e-05,1.000409107740852,1.4232179252964436e-07,1.6465596269802695e-08
raw,disp,qssp2020,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,0.27923241678058563,7.797074258112668e-06,0.9999963018045274,9.018164171624112e-05,9.014476279598402e-05,1.000409107740852,1.4232179252964436e-07,1.2724839691654995e-08
raw,disp,qssp2020,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,0.4950287372473548,2.4505345070071065e-05,0.9999914365248768,6.803254214597282e-06,6.802973620541636e-06,1.0000412457950445,1.5803467660892215e-08,4.475463266339022e-09
raw,disp,qssp2020,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,0.3654468068373968,1.3355136862764957e-05,0.9999949569728017,1.3228000556438577e-05,1.3226644372000243e-05,1.000102534278551,2.9129815526161422e-08,6.7109216073122505e-09
raw,disp,qssp2020,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,0.22112591662140813,4.8896671001657945e-06,0.9999978238601767,5.087566013680163e-05,5.0875919572199884e-05,0.9999949006248843,8.278118240592614e-08,1.033525750882802e-08
raw,disp,qssp2020,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,0.25694336734595613,6.601989402307896e-06,0.999997241928812,5.087566013680163e-05,5.0875919572199884e-05,0.9999949006248843,8.278118240592614e-08,7.569319389078217e-09
raw,disp,qssp2020,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,0.6230643012097042,3.882091234419371e-05,0.9999874307807102,5.41350630225532e-06,5.4067310569255066e-06,1.0012531130656361,1.2498198911926943e-08,4.242570851318946e-09
raw,disp,qssp2020,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,0.4417729549327772,1.9516334371003763e-05,0.999993220336428,9.211834499012624e-06,9.20312035989363e-06,1.000946867885915,1.8541824571003278e-08,6.188657744578205e-09
raw,disp,qssp2020,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,0.21108630363150838,4.4557427580813345e-06,0.999998126128872,2.821390558018035e-05,2.8204263866392105e-05,1.0003418530557622,5.202384163670373e-08,7.251283790076874e-09
raw,disp,qssp2020,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,0.2766431343527889,7.653142378453522e-06,0.9999970799221821,2.821390558018035e-05,2.8204263866392105e-05,1.0003418530557622,5.202384163670373e-08,6.02439509307008e-09
raw,stress,qseis2025,qssp2020,300.0,ee,Pa,0.0,400.0,0.25,1601,5.828043540758519,0.0033966091512977093,0.9983076871904069,398.77175389292756,404.0835075732097,0.9868548119863075,28.015143774163278,1.788158053988046
raw,stress,qseis2025,qssp2020,300.0,en,Pa,0.0,400.0,0.25,1601,7.024254896466653,0.004934015685053575,0.9976338704203016,439.00116571028923,434.7616057133222,1.0097514590553853,33.465596879417575,2.1653618937808763
raw,stress,qseis2025,qssp2020,300.0,eu,Pa,0.0,400.0,0.25,1601,6.637844237677058,0.004406097612366253,0.9979052638237712,203.753145453443,204.96726112338862,0.9940765385491748,15.110781207628861,0.9718589566698337
