processing,view,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,full,disp,qseis06_stock,qseis06_point,300.0,Up,m,0.0,400.0,0.25,1601,36.097953183215935,0.13030622240176495,0.9420838341395281,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,2.5982470700879803e-06
raw,full,disp,qseis06_stock,qseis06_point,300.0,all_components,m,0.0,400.0,0.25,1601,34.86279181424969,0.1215414253083715,0.9466549486374084,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,1.5974243697182606e-06
raw,full,disp,qseis06_stock,qseis06_point,600.0,East,m,0.0,400.0,0.25,1601,43.606115838141314,0.19014933384893987,0.9058732936653524,5.787121359310811e-06,6.513919890251941e-06,0.888423784267169,4.845044106475684e-06,3.9873807583076487e-07
raw,full,disp,qseis06_stock,qseis06_point,600.0,North,m,0.0,400.0,0.25,1601,21.46805471702218,0.04608773733330583,0.9866912118388165,1.0885500280590382e-05,1.3376820495983014e-05,0.8137584176941925,4.270353810228739e-06,3.988676004125721e-07
raw,full,disp,qseis06_stock,qseis06_point,600.0,Up,m,0.0,400.0,0.25,1601,30.067179269984244,0.09040352692533704,0.965652613945941,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,1.4147581634151367e-06
raw,full,disp,qseis06_stock,qseis06_point,600.0,all_components,m,0.0,400.0,0.25,1601,29.62614663377916,0.08777085643661842,0.9665525591807015,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,8.793232391496457e-07
raw,full,disp,qseis06_stock,qseis06_point,900.0,East,m,0.0,400.0,0.25,1601,34.727641301873184,0.12060090703915684,0.9476621091678873,4.154264157313244e-06,5.595150350972427e-06,0.7424758758433079,2.991759349048372e-06,2.4075484038862334e-07
raw,full,disp,qseis06_stock,qseis06_point,900.0,North,m,0.0,400.0,0.25,1601,18.718280427577383,0.035037402216542654,0.9924784545511752,8.376282163829263e-06,9.270183824778239e-06,0.9035723910285716,2.5896775339437113e-06,2.6597476393745547e-07
raw,full,disp,qseis06_stock,qseis06_point,900.0,Up,m,0.0,400.0,0.25,1601,28.09592368003923,0.07893809274345893,0.9716513217982168,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,9.741954092335417e-07
raw,full,disp,qseis06_stock,qseis06_point,900.0,all_components,m,0.0,400.0,0.25,1601,27.242136774806035,0.07421340160572394,0.9737735451690233,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,5.993780564312324e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,300.0,East,m,0.0,400.0,0.25,1601,39.53132000986269,0.15627252617221699,0.9263388421370343,1.7981979926381297e-05,2.6599969954823563e-05,0.6760150465177686,1.1219932780846223e-05,6.81136005779953e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,300.0,North,m,0.0,400.0,0.25,1601,23.164604705381446,0.05365989111565801,0.9818726966796825,2.604519990655234e-05,3.0968935526309956e-05,0.8410104985502453,8.391748557394984e-06,6.636714212008114e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,300.0,Up,m,0.0,400.0,0.25,1601,36.097953183215935,0.13030622240176495,0.9420838341395281,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,2.5982470700879803e-06
raw,full,disp,qseis2025_gaussian,qseis2025_point,300.0,all_components,m,0.0,400.0,0.25,1601,34.86279181424969,0.1215414253083715,0.9466549486374084,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,1.5974243697182606e-06
raw,full,disp,qseis2025_gaussian,qseis2025_point,600.0,East,m,0.0,400.0,0.25,1601,43.606115838141314,0.19014933384893987,0.9058732936653524,5.787121359310811e-06,6.513919890251941e-06,0.888423784267169,4.845044106475684e-06,3.9873807583076487e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,600.0,North,m,0.0,400.0,0.25,1601,21.46805471702218,0.04608773733330583,0.9866912118388165,1.0885500280590382e-05,1.3376820495983014e-05,0.8137584176941925,4.270353810228739e-06,3.988676004125721e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,600.0,Up,m,0.0,400.0,0.25,1601,30.067179269984244,0.09040352692533704,0.965652613945941,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,1.4147581634151367e-06
raw,full,disp,qseis2025_gaussian,qseis2025_point,600.0,all_components,m,0.0,400.0,0.25,1601,29.62614663377916,0.08777085643661842,0.9665525591807015,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,8.793232391496457e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,900.0,East,m,0.0,400.0,0.25,1601,34.727641301873184,0.12060090703915684,0.9476621091678873,4.154264157313244e-06,5.595150350972427e-06,0.7424758758433079,2.991759349048372e-06,2.4075484038862334e-07
